통계표,계정항목,단위,가중치,변환,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12
"4.2.1. 소비자물가지수","        자동차용LPG","2020=100","2.8","원자료","135.58","132.78","136.95","147.16","143.44","143.35","138.97","137.57","132.85","132.49","130.29","129.01","128.76","125.3","124.91","124.76","124.69","121.34","114.07","109.87","112.96","116.9","122.71","122.75","122.69","122.66","122.62","122.64","122.64","122.57","124.1","128.31","128.5","128.49","130.13","133.72","133.81","135.64","135.64","135.61","137.58","135.6","133","130.87","126.08","125.82","125.69","125.66"
"4.2.1. 소비자물가지수","      개인운송장비 소모품 및 유지·수리","2020=100","9.8","원자료","105.19","105.38","106.14","106.44","106.87","107.49","108.4","107.61","108.1","108.86","109.75","110.1","111.1","112.31","112.92","113.64","113.96","114.19","113.77","114.21","114.27","115.05","114.78","114.85","116.03","116.09","115.59","115.82","116.47","115.92","115.92","116.42","116.2","116.13","117.28","117.41","116.76","117.8","118.04","119.55","119.64","118.85","119.21","119.06","119.11","119.44","119.88","120.27"
"4.2.1. 소비자물가지수","        자동차용품","2020=100","0.9","원자료","107.14","106.38","105.72","104.51","104.75","105.79","108.6","98.5","100.98","104.47","109.62","109.62","110.08","114.84","109.76","114.07","115.37","117.66","109.67","113.09","113.29","117.47","112.74","110.82","116.72","114.92","108.96","109.59","115.26","108.81","107.61","111.32","107.61","106.27","115.61","115.61","106.5","115.57","112.05","115.61","115.37","105.07","110.96","109.2","109.77","110.63","113.44","116.84"
"4.2.1. 소비자물가지수","        블랙박스","2020=100","0.2","원자료","100.42","98.59","98.7","98.62","98.45","98.38","98.27","98.39","98.43","98.4","98.23","102.61","102.41","102.56","102.53","102.69","101.97","100.44","100.12","103.15","102.82","102.61","102.62","102.54","102.45","102.43","102.27","101.63","101.62","101.5","101.41","102.96","102.86","102.78","102.74","102.74","102.79","102.94","102.91","102.72","102.66","102.53","102.31","102.19","102.17","102.15","102.06","102.98"
"4.2.1. 소비자물가지수","        자동차타이어","2020=100","0.9","원자료","108.51","108.62","113.83","114.83","115.02","115.24","115.2","115.44","115.69","115.79","116.22","116.39","116.48","116.56","120.41","120.82","121.08","120.93","120.9","120.98","121.02","120.86","120.98","120.97","121.05","120.55","120.37","120.29","120.06","120.2","120.16","120.22","120.17","120.09","120.13","119.8","119.88","119.8","122.26","123.37","123.37","123.81","121.01","120.97","120.89","120.92","120.97","120.9"
"4.2.1. 소비자물가지수","        자동차수리비","2020=100","6.3","원자료","103.99","104.24","104.55","104.76","105.22","105.73","106.46","106.59","106.87","107.38","107.81","108.04","109.21","110.12","110.96","111.21","111.35","111.41","111.81","111.83","111.83","112.33","112.43","112.76","113.4","113.73","113.74","113.91","114","114.04","114.16","114.28","114.43","114.48","114.78","114.9","115.09","115.27","115.7","117.13","117.27","117.45","117.5","117.51","117.51","117.74","117.95","117.98"
"4.2.1. 소비자물가지수","        엔진오일교체료","2020=100","1","원자료","109.15","109.76","110.99","112.66","113.39","115.05","116.54","116.93","117.46","118.24","118.91","119.42","120.37","121.32","123.1","123.6","124.42","124.76","125.37","125.53","125.76","126.63","127.32","127.5","128.64","128.88","129.26","129.61","130.12","130.13","130.43","130.57","130.93","130.98","131.53","132.24","132.59","132.78","133.5","134.77","134.91","134.91","135.23","135.29","135.36","135.84","136.06","136.1"
"4.2.1. 소비자물가지수","        세차료","2020=100","0.5","원자료","109.6","110.88","112","112.69","113.31","113.79","114.14","114.36","114.45","114.84","115.48","116.38","118.19","119.79","120.74","121.9","122.19","122.3","122.66","122.98","123.42","123.57","123.99","124.46","126.5","127.01","127.94","128.84","129.45","129.93","130.18","130.44","130.75","131.03","131.6","131.76","132.71","133.66","134.18","134.68","135.09","135.3","135.3","135.42","135.25","136.24","136.74","137.36"
"4.2.1. 소비자물가지수","      개인운송장비 관련 기타 서비스","2020=100","7.3","원자료","99.81","99.59","97.74","100.07","102.09","111.36","111.18","105.34","101.31","106.28","105.07","100.42","103.7","99.31","98.67","100.77","104.76","103.15","103.11","99.38","96.47","98.08","95.12","96.96","92.64","93.31","93.04","94.93","101.38","95.77","104.92","103.95","100.67","98.77","94.96","96.35","95.46","93.07","96.09","98.98","96.36","97.18","100.5","102.86","96.68","105.29","96.73","97.48"
"4.2.1. 소비자물가지수","        자동차학원비","2020=100","0.5","원자료","103.48","103.65","104.3","104.91","105.43","105.55","105.86","105.9","106.28","106.39","108.58","108.99","109.53","109.51","109.74","109.85","109.51","109.58","109.13","108.29","108.16","108.08","108.36","108.5","108.7","108.7","108.81","110.13","110.43","112.12","112.15","112.44","112.64","112.74","113.56","113.65","114.01","114.26","114.59","115.03","114.95","115","115","115.21","115.39","115.58","115.51","115.28"
"4.2.1. 소비자물가지수","        주차료","2020=100","1.2","원자료","105.27","105.27","105.3","105.3","105.3","105.43","105.43","105.43","105.43","105.43","105.67","105.87","105.87","105.87","105.93","105.93","105.79","106.77","106.77","106.87","106.9","107.08","107.34","107.34","107.34","107.47","107.47","108.59","108.71","108.99","108.85","108.85","109.23","109.38","109.38","109.38","109.56","109.88","110.16","111","111.79","111.79","111.79","112.33","112.47","112.59","112.59","112.59"
